{'timestamp': '2025-07-30T21:25:55.142828', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T21:25:57.147053', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:25:59.157515', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:26:01.166943', 'lux': 30.0}
{'timestamp': '2025-07-30T21:26:03.177515', 'lux': 29.166666666666668}
{'timestamp': '2025-07-30T21:26:05.183215', 'lux': 29.166666666666668}
{'timestamp': '2025-07-30T21:26:07.188751', 'lux': 6.666666666666667}
{'timestamp': '2025-07-30T21:26:09.199227', 'lux': 36.66666666666667}
{'timestamp': '2025-07-30T21:26:11.209926', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:13.220599', 'lux': 30.833333333333336}
{'timestamp': '2025-07-30T21:26:15.226301', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:17.231846', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:19.242281', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:21.252880', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:23.263464', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:25.269210', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:26:27.274747', 'lux': 29.166666666666668}
{'timestamp': '2025-07-30T21:26:29.285196', 'lux': 18.333333333333336}
{'timestamp': '2025-07-30T21:26:31.295827', 'lux': 9.166666666666668}
{'timestamp': '2025-07-30T21:26:33.306421', 'lux': 32.5}
{'timestamp': '2025-07-30T21:26:35.312103', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:26:37.317628', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:26:39.328076', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:26:41.338669', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:26:43.347939', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:26:45.353647', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:26:47.359176', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:26:49.369625', 'lux': 34.16666666666667}
{'timestamp': '2025-07-30T21:26:51.380253', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:53.389288', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:55.395011', 'lux': 37.5}
{'timestamp': '2025-07-30T21:26:57.400528', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:26:59.406037', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:01.416459', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:03.427049', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:05.432740', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:07.438261', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:09.448657', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:11.459233', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:27:13.469827', 'lux': 38.333333333333336}
{'timestamp': '2025-07-30T21:27:15.475518', 'lux': 39.16666666666667}
{'timestamp': '2025-07-30T21:27:17.481099', 'lux': 39.16666666666667}
