{'timestamp': '2025-08-02T18:10:16.348863', 'lux': 30.833333333333336}
{'timestamp': '2025-08-02T18:10:21.904687', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:27.509360', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:33.104908', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:38.698034', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:44.291384', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:49.902777', 'lux': 30.0}
{'timestamp': '2025-08-02T18:10:55.521059', 'lux': 30.0}
{'timestamp': '2025-08-02T18:11:01.488578', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:11:07.187054', 'lux': 14.166666666666668}
{'timestamp': '2025-08-02T18:11:15.240791', 'lux': 10.0}
{'timestamp': '2025-08-02T18:11:23.250627', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:11:28.828220', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:11:34.437829', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:11:40.025801', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:11:45.623933', 'lux': 28.333333333333336}
{'timestamp': '2025-08-02T18:11:51.234332', 'lux': 7.5}
{'timestamp': '2025-08-02T18:11:59.211979', 'lux': 8.333333333333334}
{'timestamp': '2025-08-02T18:12:07.447324', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:12:13.386998', 'lux': 28.333333333333336}
{'timestamp': '2025-08-02T18:12:19.054412', 'lux': 29.166666666666668}
{'timestamp': '2025-08-02T18:12:24.982296', 'lux': 27.5}
{'timestamp': '2025-08-02T18:12:30.786576', 'lux': 27.5}
{'timestamp': '2025-08-02T18:12:36.568048', 'lux': 27.5}
{'timestamp': '2025-08-02T18:12:42.286261', 'lux': 27.5}
{'timestamp': '2025-08-02T18:12:47.886832', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:12:53.472806', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:12:59.420974', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:13:05.279169', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:13:11.058054', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:13:16.799207', 'lux': 28.333333333333336}
{'timestamp': '2025-08-02T18:13:22.455259', 'lux': 28.333333333333336}
{'timestamp': '2025-08-02T18:13:28.039185', 'lux': 28.333333333333336}
{'timestamp': '2025-08-02T18:13:33.623260', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:13:39.208972', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:13:44.819871', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:13:50.731477', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:13:56.516158', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:02.207222', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:07.809233', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:13.328187', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:19.207852', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:24.955306', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:30.638974', 'lux': 25.833333333333336}
{'timestamp': '2025-08-02T18:14:36.440912', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:14:42.147454', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:14:47.814632', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:14:53.335179', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:14:59.227014', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:15:04.893965', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:15:10.713287', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:15:16.308854', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:15:22.262790', 'lux': 26.666666666666668}
{'timestamp': '2025-08-02T18:15:28.084502', 'lux': 25.0}
{'timestamp': '2025-08-02T18:15:33.706933', 'lux': 25.0}
{'timestamp': '2025-08-02T18:15:39.697923', 'lux': 25.0}
