{'timestamp': '2025-07-30T21:48:05.693608', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:05.894273', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:06.094985', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:06.295448', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:06.495912', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:06.696381', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:06.896850', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:07.097322', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:07.297909', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:07.498377', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:07.698851', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:07.899331', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:08.099802', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:08.300274', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:08.500737', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:08.701209', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:08.901668', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:09.102133', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:09.302600', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:09.503066', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:09.703532', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:09.904057', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:10.104708', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:10.305385', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:10.506023', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:10.706693', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:10.907408', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:11.108063', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:11.308531', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:11.509000', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:11.709465', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:11.909938', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:12.110404', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:12.310879', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:12.511339', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:12.711807', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:12.912275', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:13.112754', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:13.313224', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:13.513690', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:13.714153', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:13.914618', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:14.115083', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:14.315549', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:14.516036', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:14.716506', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:14.917009', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:15.117505', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:15.317965', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:15.518435', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:15.718896', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:15.919396', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:16.119944', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:16.320608', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:16.521252', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:16.721913', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:16.922625', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:17.123317', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:17.323883', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:17.524586', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:17.725289', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:17.926064', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:18.126748', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:18.327383', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:18.528165', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:18.728842', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:18.929561', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:19.130229', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:19.330708', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:19.531182', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:19.731666', 'sound_detected': True}
{'timestamp': '2025-07-30T21:48:19.932146', 'sound_detected': True}
