{'timestamp': '2025-07-31T01:20:42.743965', 'lux': 39.16666666666667}
{'timestamp': '2025-07-31T01:20:48.352600', 'lux': 5.833333333333334}
{'timestamp': '2025-07-31T01:20:55.764578', 'lux': 5.833333333333334}
{'timestamp': '2025-07-31T01:21:02.777593', 'lux': 5.833333333333334}
{'timestamp': '2025-07-31T01:21:09.801109', 'lux': 45.0}
{'timestamp': '2025-07-31T01:21:15.760068', 'lux': 43.333333333333336}
{'timestamp': '2025-07-31T01:21:21.597564', 'lux': 43.333333333333336}
{'timestamp': '2025-07-31T01:21:27.304745', 'lux': 43.333333333333336}
{'timestamp': '2025-07-31T01:21:32.931518', 'lux': 42.5}
{'timestamp': '2025-07-31T01:21:38.494394', 'lux': 41.66666666666667}
{'timestamp': '2025-07-31T01:21:44.009098', 'lux': 41.66666666666667}
{'timestamp': '2025-07-31T01:21:49.523935', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:21:55.259070', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:00.935832', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:06.457753', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:12.058520', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:17.815826', 'lux': 40.0}
{'timestamp': '2025-07-31T01:22:23.500620', 'lux': 40.0}
{'timestamp': '2025-07-31T01:22:29.105796', 'lux': 40.0}
{'timestamp': '2025-07-31T01:22:34.704774', 'lux': 40.0}
{'timestamp': '2025-07-31T01:22:40.284462', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:46.233139', 'lux': 40.0}
{'timestamp': '2025-07-31T01:22:52.038081', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:22:57.734279', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:23:03.335685', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:08.838190', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:14.405429', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:23:19.989192', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:25.563758', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:23:31.138022', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:23:36.738560', 'lux': 40.833333333333336}
{'timestamp': '2025-07-31T01:23:42.306944', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:47.874941', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:53.446552', 'lux': 40.0}
{'timestamp': '2025-07-31T01:23:59.016297', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:04.588151', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:10.098006', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:15.671195', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:21.246699', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:26.823190', 'lux': 38.333333333333336}
{'timestamp': '2025-07-31T01:24:32.392424', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:37.967850', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:43.533844', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:49.100130', 'lux': 40.0}
{'timestamp': '2025-07-31T01:24:54.673643', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:00.253079', 'lux': 38.333333333333336}
{'timestamp': '2025-07-31T01:25:05.829059', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:11.335173', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:16.912323', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:22.487376', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:28.065793', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:33.639137', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:39.212197', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:44.715662', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:50.296290', 'lux': 40.0}
{'timestamp': '2025-07-31T01:25:55.877565', 'lux': 40.0}
{'timestamp': '2025-07-31T01:26:01.478728', 'lux': 40.0}
{'timestamp': '2025-07-31T01:26:07.313505', 'lux': 40.0}
{'timestamp': '2025-07-31T01:26:12.977601', 'lux': 40.0}
{'timestamp': '2025-07-31T01:26:18.756478', 'lux': 39.16666666666667}
{'timestamp': '2025-07-31T01:26:24.437339', 'lux': 39.16666666666667}
{'timestamp': '2025-07-31T01:26:29.940250', 'lux': 39.16666666666667}
{'timestamp': '2025-07-31T01:26:35.512343', 'lux': 36.66666666666667}
{'timestamp': '2025-07-31T01:26:41.081322', 'lux': 35.0}
{'timestamp': '2025-07-31T01:26:46.586283', 'lux': 35.0}
{'timestamp': '2025-07-31T01:26:52.102173', 'lux': 35.0}
{'timestamp': '2025-07-31T01:26:57.668831', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:03.258642', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:08.834047', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:14.404183', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:19.989747', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:25.560646', 'lux': 35.0}
{'timestamp': '2025-07-31T01:27:31.129593', 'lux': 36.66666666666667}
{'timestamp': '2025-07-31T01:27:36.950356', 'lux': 36.66666666666667}
{'timestamp': '2025-07-31T01:27:42.543621', 'lux': 35.0}
