{'timestamp': '2025-08-02T18:19:03.272443', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:09.212090', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:14.868236', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:20.455587', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:26.076283', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:32.019364', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:37.838847', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:43.550759', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:49.488709', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:55.299449', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:01.042557', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:06.562872', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:12.150388', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:17.768266', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:23.584743', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:29.429908', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:35.215664', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:40.918235', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:46.434291', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:52.020135', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:57.616936', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:03.204232', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:08.941087', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:14.530551', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:20.124258', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:25.707918', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:31.306337', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:36.828380', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:42.376957', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:48.348753', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:53.937624', 'sound_detected': True}
{'timestamp': '2025-08-02T18:21:59.535121', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:05.079815', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:10.626336', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:16.578325', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:22.357414', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:28.068108', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:33.668585', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:39.259724', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:44.854139', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:50.452467', 'sound_detected': True}
{'timestamp': '2025-08-02T18:22:56.047189', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:01.574953', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:07.168017', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:12.820496', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:18.412592', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:24.008634', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:29.601999', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:35.191290', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:40.781077', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:46.374307', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:51.995616', 'sound_detected': True}
{'timestamp': '2025-08-02T18:23:57.951513', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:03.697772', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:09.516153', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:15.233907', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:20.892787', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:26.541328', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:32.132839', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:37.656872', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:43.177399', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:48.932439', 'sound_detected': True}
{'timestamp': '2025-08-02T18:24:54.624972', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:00.411691', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:06.145678', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:11.811844', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:17.404406', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:22.993471', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:28.659873', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:34.246052', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:39.838440', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:45.430019', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:51.017591', 'sound_detected': True}
{'timestamp': '2025-08-02T18:25:56.538532', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:02.131537', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:07.723570', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:13.244225', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:19.125532', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:24.944707', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:30.895805', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:36.626962', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:42.308486', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:47.926015', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:53.517781', 'sound_detected': True}
{'timestamp': '2025-08-02T18:26:59.118108', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:04.730934', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:10.676243', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:16.493136', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:22.097618', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:27.713296', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:33.602029', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:39.174245', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:44.988636', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:50.586594', 'sound_detected': True}
{'timestamp': '2025-08-02T18:27:56.259335', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:04.298319', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:12.260604', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:20.196163', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:28.173551', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:33.760654', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:39.349064', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:44.954409', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:50.920568', 'sound_detected': True}
{'timestamp': '2025-08-02T18:28:56.539286', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:02.192157', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:07.799985', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:13.694200', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:19.704246', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:25.319495', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:31.291920', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:37.120493', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:42.875970', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:48.562005', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:54.188256', 'sound_detected': True}
{'timestamp': '2025-08-02T18:29:59.777740', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:05.389761', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:11.346033', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:17.171937', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:22.952856', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:28.681962', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:34.284542', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:39.873564', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:45.485281', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:51.300547', 'sound_detected': True}
{'timestamp': '2025-08-02T18:30:57.025391', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:02.686381', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:08.294088', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:13.883821', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:19.479683', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:25.085743', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:30.922671', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:36.655606', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:42.311652', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:47.903546', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:53.518260', 'sound_detected': True}
{'timestamp': '2025-08-02T18:31:59.128005', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:05.079474', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:10.893555', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:16.610188', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:22.253276', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:27.847525', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:33.434468', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:39.355018', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:44.964547', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:50.504355', 'sound_detected': True}
{'timestamp': '2025-08-02T18:32:56.174621', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:02.008036', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:07.740282', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:13.401589', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:19.218795', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:24.843723', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:30.681074', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:36.403305', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:42.057113', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:47.660162', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:53.271828', 'sound_detected': True}
{'timestamp': '2025-08-02T18:33:59.213537', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:05.031000', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:10.779444', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:16.456162', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:22.050986', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:27.641336', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:33.250906', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:39.215326', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:45.063775', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:50.827240', 'sound_detected': True}
{'timestamp': '2025-08-02T18:34:56.512656', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:02.102338', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:07.693758', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:13.277978', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:19.207052', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:25.024750', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:30.820865', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:36.511338', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:42.095651', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:47.633197', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:53.437483', 'sound_detected': True}
{'timestamp': '2025-08-02T18:35:59.397914', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:04.981304', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:10.573281', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:16.156119', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:21.749507', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:27.361394', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:33.197008', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:39.038699', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:44.795621', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:50.486835', 'sound_detected': True}
{'timestamp': '2025-08-02T18:36:56.124798', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:01.710233', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:07.260987', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:13.242125', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:19.093402', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:24.706545', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:30.658447', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:36.490842', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:42.247810', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:47.788319', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:53.377946', 'sound_detected': True}
{'timestamp': '2025-08-02T18:37:59.312489', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:05.165030', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:10.914621', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:16.485442', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:22.013187', 'sound_detected': True}
{'timestamp': '2025-08-02T18:38:27.642383', 'sound_detected': True}
