{'timestamp': '2025-07-30T23:09:24.691800', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:30.238498', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:35.772387', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:41.308899', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:46.863801', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:52.751579', 'sound_detected': True}
{'timestamp': '2025-07-30T23:09:59.792465', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:06.777000', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:12.685586', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:18.446206', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:24.050317', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:29.585570', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:35.273866', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:40.834578', 'sound_detected': True}
{'timestamp': '2025-07-30T23:10:46.723500', 'sound_detected': True}
