{'timestamp': '2025-08-02T19:54:16.661610', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:22.260641', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:27.881167', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:33.706726', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:39.263167', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:44.916724', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:50.495389', 'sound_detected': True}
{'timestamp': '2025-08-02T19:54:56.330043', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:04.348077', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:12.301065', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:18.115410', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:23.705039', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:29.241808', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:34.849227', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:40.495917', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:46.408988', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:51.995828', 'sound_detected': True}
{'timestamp': '2025-08-02T19:55:57.511971', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:03.100345', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:08.683926', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:14.296350', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:20.142760', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:28.148007', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:33.844555', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:39.671538', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:45.278038', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:51.225433', 'sound_detected': True}
{'timestamp': '2025-08-02T19:56:57.055568', 'sound_detected': True}
