{'timestamp': '2025-08-02T19:54:16.661562', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:54:22.260621', 'lux': 37.5}
{'timestamp': '2025-08-02T19:54:27.881137', 'lux': 37.5}
{'timestamp': '2025-08-02T19:54:33.706654', 'lux': 37.5}
{'timestamp': '2025-08-02T19:54:39.263086', 'lux': 37.5}
{'timestamp': '2025-08-02T19:54:44.916684', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:54:50.495343', 'lux': 35.833333333333336}
{'timestamp': '2025-08-02T19:54:56.330023', 'lux': 3.3333333333333335}
{'timestamp': '2025-08-02T19:55:04.348034', 'lux': 1.6666666666666667}
{'timestamp': '2025-08-02T19:55:12.301025', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:55:18.115390', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:55:23.705019', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:55:29.241788', 'lux': 37.5}
{'timestamp': '2025-08-02T19:55:34.849134', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:55:40.495875', 'lux': 37.5}
{'timestamp': '2025-08-02T19:55:46.408967', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:55:51.995808', 'lux': 37.5}
{'timestamp': '2025-08-02T19:55:57.511950', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:03.100325', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:08.683904', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:14.296307', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:20.142740', 'lux': 3.3333333333333335}
{'timestamp': '2025-08-02T19:56:28.147966', 'lux': 38.333333333333336}
{'timestamp': '2025-08-02T19:56:33.844514', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:39.671517', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:45.277981', 'lux': 37.5}
{'timestamp': '2025-08-02T19:56:51.225413', 'lux': 36.66666666666667}
{'timestamp': '2025-08-02T19:56:57.055548', 'lux': 36.66666666666667}
