{'timestamp': '2025-07-31T01:20:42.744002', 'sound_detected': True}
{'timestamp': '2025-07-31T01:20:48.352641', 'sound_detected': True}
{'timestamp': '2025-07-31T01:20:55.764598', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:02.777635', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:09.801148', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:15.760115', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:21.597584', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:27.304765', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:32.931539', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:38.494414', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:44.009117', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:49.523955', 'sound_detected': True}
{'timestamp': '2025-07-31T01:21:55.259089', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:00.935852', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:06.457772', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:12.058540', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:17.815846', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:23.500641', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:29.105816', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:34.704836', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:40.284504', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:46.233160', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:52.038101', 'sound_detected': True}
{'timestamp': '2025-07-31T01:22:57.734299', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:03.335704', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:08.838210', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:14.405450', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:19.989211', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:25.563778', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:31.138043', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:36.738580', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:42.306966', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:47.874960', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:53.446572', 'sound_detected': True}
{'timestamp': '2025-07-31T01:23:59.016318', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:04.588171', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:10.098026', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:15.671216', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:21.246718', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:26.823211', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:32.392445', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:37.967871', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:43.533864', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:49.100150', 'sound_detected': True}
{'timestamp': '2025-07-31T01:24:54.673663', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:00.253098', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:05.829079', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:11.335218', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:16.912343', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:22.487430', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:28.065812', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:33.639156', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:39.212218', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:44.715682', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:50.296312', 'sound_detected': True}
{'timestamp': '2025-07-31T01:25:55.877585', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:01.478770', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:07.313525', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:12.977639', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:18.756497', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:24.437359', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:29.940270', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:35.512363', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:41.081342', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:46.586305', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:52.102192', 'sound_detected': True}
{'timestamp': '2025-07-31T01:26:57.668851', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:03.258662', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:08.834071', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:14.404204', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:19.989767', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:25.560666', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:31.129613', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:36.950376', 'sound_detected': True}
{'timestamp': '2025-07-31T01:27:42.543661', 'sound_detected': True}
