{'timestamp': '2025-07-31T14:59:50.707252', 'sound_detected': True}
{'timestamp': '2025-07-31T14:59:59.281575', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:04.926050', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:10.764398', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:16.365636', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:22.302803', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:28.154160', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:34.413930', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:40.049604', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:45.652561', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:51.609776', 'sound_detected': True}
{'timestamp': '2025-07-31T15:00:57.214960', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:02.976143', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:08.569318', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:14.205031', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:19.927674', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:25.589174', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:31.535015', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:37.126914', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:42.738877', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:48.737089', 'sound_detected': True}
{'timestamp': '2025-07-31T15:01:54.693828', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:00.207589', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:05.809645', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:11.442631', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:16.989367', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:22.613224', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:28.187035', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:33.798217', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:39.755320', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:45.345582', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:51.171327', 'sound_detected': True}
{'timestamp': '2025-07-31T15:02:56.760778', 'sound_detected': True}
{'timestamp': '2025-07-31T15:03:06.733452', 'sound_detected': True}
